O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
6,ABUL HUSSAIN BARBHUIYA,Independent,84,0,84,0.07,6,13,I
7,WAHIDUL ISLAM CHOUDHURY,Independent,84,0,84,0.07,6,13,I
8,KSHITISH RANJAN PAUL,Independent,484,5,489,0.38,6,7,I
9,GULA AHMED MAZUMDER,Independent,138,0,138,0.11,6,10,I
10,BINOY KUMAR ROY,Independent,119,7,126,0.1,6,12,I
11,MUJIB AHMED CHOUDHURY,Independent,617,3,620,0.48,6,5,I
12,SAIDUR RAHMAN BARBHUIYA,Independent,542,1,543,0.42,6,6,I
13,HILAL UDDIN LASKAR,Independent,6517,66,6583,5.11,6,3,I
14,NOTA,None of the Above,1058,5,1063,0.83,6,4,NOTA
1,SANJEEV ROY,Indian National Congress,2884,47,2931,1.9,7,3,INC
2,SUZAM UDDIN LASKAR,All India United Democratic Front,79415,354,79769,51.83,7,1,AIUDF
3,SUBRATA KUMAR NATH,Bharatiya Janata Party,66337,461,66798,43.41,7,2,BJP
4,RAM KUMAR NUNIA,Janata Dal (United),667,5,672,0.44,7,6,JD(U)
5,ACHAB UDDIN BARBHUIYA,Independent,189,1,190,0.12,7,11,I
6,AFTAB UDDIN BARBHUIYA,Independent,193,1,194,0.13,7,10,I
7,ABDUL BASIT LASKAR,Independent,111,0,111,0.07,7,14,I
8,AHMED HUSSAIN BARBHUIYA,Independent,181,1,182,0.12,7,12,I
9,JOHUR UDDIN TALUKDAR,Independent,154,1,155,0.1,7,13,I
10,BADAR UDDIN LASKAR,Independent,96,0,96,0.06,7,15,I
11,MOJMUL ISLAM LASKAR,Independent,207,0,207,0.13,7,9,I
12,RAJESH PAUL,Independent,264,5,269,0.17,7,8,I
13,LUTHFUR RAHMAN LASKAR,Independent,906,0,906,0.59,7,4,I
14,SAHAB UDDIN LASKAR,Independent,666,0,666,0.43,7,7,I
15,NOTA,None of the Above,742,3,745,0.48,7,5,NOTA
1,Aftab Uddin Laskar,Asom Gana Parishad,7458,91,7549,5.59,8,3,AGP
2,Nijam Uddin Choudhury,All India United Democratic Front,66134,651,66785,49.46,8,1,AIUDF
3,Moon Swarnakar,Bharatiya Janata Party,48894,287,49181,36.42,8,2,BJP
4,Simu Das,All India Forward Bloc,549,3,552,0.41,8,11,AIFB
5,Alim Uddin Laskar,Independent,135,1,136,0.1,8,19,I
6,Imadul Islam Laskar,Independent,93,2,95,0.07,8,20,I
7,Kaji Abdul Hakim,Independent,279,1,280,0.21,8,17,I
8,Gulzar Ahmed Barbhuiya,Independent,339,0,339,0.25,8,15,I
9,Jahanara Begum Mazumder,Independent,314,0,314,0.23,8,16,I
10,Daisy Roy,Independent,1588,13,1601,1.19,8,5,I
11,Badrul Islam Barbhuiya,Independent,1379,24,1403,1.04,8,6,I
12,Babul Kumar,Independent,2339,4,2343,1.74,8,4,I
13,Bulbul Alam Choudhury,Independent,534,0,534,0.4,8,12,I
14,Brojendra Chandra Das,Independent,466,0,466,0.35,8,13,I
15,Manoj Kumar Malakar,Independent,793,1,794,0.59,8,7,I
16,Raju Das,Independent,759,1,760,0.56,8,8,I
17,Raju Deb,Independent,224,0,224,0.17,8,18,I
18,Samin Ahmed Choudhury,Independent,634,0,634,0.47,8,9,I
19,Saleh Ahmed Mazumder,Independent,593,1,594,0.44,8,10,I
20,NOTA,None of the Above,433,9,442,0.33,8,14,NOTA
1,TAMAL KANTI BANIK,Indian National Congress,60525,455,60980,34.75,9,2,INC
2,DIPAYAN CHAKRABORTY,Bharatiya Janata Party,97433,1125,98558,56.17,9,1,BJP
3,DULALI CHAKRABORTY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),741,14,755,0.43,9,5,SUCOI(C)
4,PRASANTA LASKAR,Republican Party of India (A),178,3,181,0.1,9,11,RPI(A)
5,BISHWAY CHAMAK GOSWAMI,Bharatiya Gana Parishad,150,5,155,0.09,9,13,BGP
6,RAJU SINHA,Hindusthan Nirman Dal,483,9,492,0.28,9,7,HND
7,ANUP DUTTA,Independent,194,3,197,0.11,9,10,I
8,ANUPAM DEV,Independent,154,2,156,0.09,9,12,I
9,DILIP KUMAR PAUL,Independent,11099,155,11254,6.41,9,3,I
10,BAKTAR UDDIN MAZUMDER,Independent,218,4,222,0.13,9,9,I
11,BAPPI PAUL,Independent,92,1,93,0.05,9,16,I
12,BIJU CHANDA,Independent,97,1,98,0.06,9,15,I
13,RUSNA BEGUM LASKAR,Independent,146,3,149,0.08,9,14,I
14,SHANKAR CHAKRABORTY,Independent,254,0,254,0.14,9,8,I
15,SHUVADIP DATTA,Independent,523,0,523,0.3,9,6,I
16,NOTA,None of the Above,1375,23,1398,0.8,9,4,NOTA
1,AMINUL HAQUE LASKAR,Bharatiya Janata Party,51695,588,52283,35.49,10,2,BJP
2,KARIM UDDIN BARBHUIYA,All India United Democratic Front,71463,474,71937,48.83,10,1,AIUDF
3,M. SANTI KUMAR SINGHA,All India Trinamool Congress,2728,68,2796,1.9,10,4,AITC
4,ANJAN KUMAR CHANDA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),242,2,244,0.17,10,12,SUCOI(C)
5,ANWAR HUSSAIN LASKAR,Samajwadi Party,461,8,469,0.32,10,10,SP
6,ABDUL MATLIB LASKAR,Independent,138,3,141,0.1,10,15,I
7,ASHISH HALDAR,Independent,14392,108,14500,9.84,10,3,I
8,ANAMUL HAQUE,Independent,729,6,735,0.5,10,7,I
9,KARIM UDDIN BARBHUIYA,Independent,222,14,236,0.16,10,14,I
10,DILIP KUMAR DAS,Independent,288,11,299,0.2,10,11,I
11,MD NAZRUL ISLAM LASKAR,Independent,240,1,241,0.16,10,13,I
12,BIJAN PAUL,Independent,675,4,679,0.46,10,8,I
13,SHUKUMAR SONAR,Independent,481,1,482,0.33,10,9,I
14,SAYAL AHMED BARBHUIYA,Independent,1060,1,1061,0.72,10,6,I
15,NOTA,None of the Above,1226,5,1231,0.84,10,5,NOTA
1,KAMAKHYA PRASAD MALA,Indian National Congress,61868,308,62176,41.44,11,2,INC
2,PARIMAL SUKLA BAIDYA,Bharatiya Janata Party,81896,672,82568,55.03,11,1,BJP
3,GOUR CHANDRA DAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1823,11,1834,1.22,11,3,SUCOI(C)
4,RAM RATAN DUSAD,Assam Jatiya Parishad,376,5,381,0.25,11,7,AJP
5,ANANTA MOHAN ROY,Independent,355,1,356,0.24,11,8,I
6,DIPAK RANJAN ROY,Independent,417,8,425,0.28,11,6,I
7,PARIMAL DAS,Independent,746,4,750,0.5,11,5,I
8,NOTA,None of the Above,1558,3,1561,1.04,11,4,NOTA
1,AJIT SINGH,Indian National Congress,58674,386,59060,45.28,12,2,INC
2,MIHIR KANTI SHOME,Bharatiya Janata Party,61175,570,61745,47.34,12,1,BJP
3,Aynul Hoque Laskar,Assam Jatiya Parishad,802,9,811,0.62,12,5,AJP
4,Debojyoti Bhattacharjee,Independent,276,5,281,0.22,12,8,I
5,Rahul Roy,Independent,5763,33,5796,4.44,12,3,I
6,Subrata Mazumder,Independent,540,4,544,0.42,12,7,I
7,Suman Das,Independent,705,5,710,0.54,12,6,I
8,NOTA,None of the Above,1483,11,1494,1.15,12,4,NOTA
1,Kaushik Rai,Bharatiya Janata Party,54896,445,55341,44.61,13,1,BJP
2,Mukesh Pandey,Indian National Congress,42202,439,42641,34.38,13,2,INC
3,Alim Uddin Mazumder,Assam Jatiya Parishad,2952,39,2991,2.41,13,4,AJP
4,Kshirode Karmakar,Independent,381,7,388,0.31,13,7,I
5,Chiranjit Acharjee,Independent,641,5,646,0.52,13,6,I
6,Thoiba Singha,Independent,20146,357,20503,16.53,13,3,I
7,NOTA,None of the Above,1531,5,1536,1.24,13,5,NOTA
1,AMALENDU DAS,Bharatiya Janata Party,56906,496,57402,46.12,14,2,BJP
2,MISBAHUL ISLAM LASKAR,Indian National Congress,63950,483,64433,51.77,14,1,INC
3,MEHBUB RAHMAN BARBHUIYA,Assam Jatiya Parishad,774,2,776,0.62,14,4,AJP
4,NAZMUL HOQUE LASKAR,Independent,261,2,263,0.21,14,6,I
5,HIFZUR RAHMAN LASKAR,Independent,474,1,475,0.38,14,5,I
6,NOTA,None of the Above,1095,10,1105,0.89,14,3,NOTA
1,Khalil Uddin Mazumder,Indian National Congress,82610,658,83268,51.22,15,1,INC
2,Gautam Roy,Bharatiya Janata Party,75513,816,76329,46.95,15,2,BJP
3,Abdul Odud Choudhury,Independent,474,2,476,0.29,15,5,I
4,Junaid Ahmed Barbhuiya,Independent,194,1,195,0.12,15,8,I
5,Nasir Uddin Barbhuiya,Independent,139,1,140,0.09,15,9,I
6,Monsur Hassan Choudhury,Independent,196,1,197,0.12,15,7,I
7,GMC SAHAB UDDIN AHMED,Independent,292,5,297,0.18,15,6,I
8,Hilal Ahmed Talukder,Independent,562,1,563,0.35,15,4,I
9,NOTA,None of the Above,1106,6,1112,0.68,15,3,NOTA
1,NANDITA GORLOSA,Bharatiya Janata Party,67119,678,67797,56.73,16,1,BJP
2,NIRMAL LANGTHASA,Indian National Congress,48659,540,49199,41.16,16,2,INC
3,KHANDAN DAULAGUPU,Bhartiya Tribal Party,819,7,826,0.69,16,4,BTP
4,LONGKI ENGHI,Janata Dal (United),718,5,723,0.6,16,5,JD(U)
5,NOTA,None of the Above,963,10,973,0.81,16,3,NOTA
1,DAVID RENGMA,National People's Party,1466,6,1472,1.24,17,7,NPP
2,NUMAL MOMIN,Bharatiya Janata Party,60404,322,60726,51.05,17,1,BJP
3,RATON ENGTI,Indian National Congress,42655,186,42841,36.02,17,2,INC
4,AMLONG INGTI,Communist Party of India (Marxist-Leninist) (Liberation),1568,4,1572,1.32,17,6,CPI(M)(L)
5,RAJENDRA RONGPI,Autonomous State Demand Committee,3388,22,3410,2.87,17,4,ASDC
6,SANJAY KEMPRAI,Bhartiya Tribal Party,710,0,710,0.6,17,8,BTP
7,SEMSON TERON,Independent,6602,28,6630,5.57,17,3,I
8,NOTA,None of the Above,1576,8,1584,1.33,17,5,NOTA
1,Chomang Teron,National People's Party,1108,10,1118,1.08,18,7,NPP
2,Darsing Ronghang,Bharatiya Janata Party,57369,558,57927,55.74,18,1,BJP
3,Sanjeeb Teron,Indian National Congress,26014,230,26244,25.25,18,2,INC
4,Chandra Kanta Terang,Autonomous State Demand Committee,5059,39,5098,4.91,18,4,ASDC
5,Pradip Tokbi,Janata Dal (United),638,1,639,0.61,18,9,JD(U)
6,Rabi Kumar Phangcho,Communist Party of India (Marxist-Leninist) (Liberation),1819,14,1833,1.76,18,5,CPI(M)(L)
7,Rakesh Ronghang,Independent,715,3,718,0.69,18,8,I
8,Suren Kramsa,Independent,8958,32,8990,8.65,18,3,I
9,NOTA,None of the Above,1349,6,1355,1.3,18,6,NOTA
1,Sum Ronghang,Indian National Congress,36209,295,36504,23.97,19,2,INC
2,Bidya Sing Engleng,Bharatiya Janata Party,76301,731,77032,50.58,19,1,BJP
3,Rajen Timung,National People's Party,1350,22,1372,0.9,19,7,NPP
4,Ranjit Kramsa,Communist Party of India (Marxist-Leninist) (Liberation),1448,19,1467,0.96,19,6,CPI(M)(L)
5,Hemsing Tisso,Autonomous State Demand Committee,7314,65,7379,4.85,19,4,ASDC
6,Jones Ingti Kathar,Independent,23198,158,23356,15.34,19,3,I
7,Dilip Sing Bey,Independent,915,12,927,0.61,19,9,I
8,Bhogeswar Shyam,Independent,840,6,846,0.56,19,10,I
9,Rohili Tokbipi,Independent,1088,3,1091,0.72,19,8,I
10,NOTA,None of the Above,2305,15,2320,1.52,19,5,NOTA
1,Augustine Enghee,Indian National Congress,36226,52,36278,22.24,20,2,INC
2,Rupsing Teron,Bharatiya Janata Party,89577,138,89715,55.0,20,1,BJP
3,Welcome Teron,National People's Party,1874,7,1881,1.15,20,6,NPP
4,Sima Engtipi,Janata Dal (United),942,0,942,0.58,20,9,JD(U)
5,Sarsing Engleng,Independent,11537,10,11547,7.08,20,4,I
6,Pratima Engheepi,Independent,1478,1,1479,0.91,20,7,I
7,Bikram Hanse,Independent,17955,10,17965,11.01,20,3,I
8,Rina Beypi,Independent,1218,5,1223,0.75,20,8,I
9,NOTA,None of the Above,2082,0,2082,1.28,20,5,NOTA
1,AMINUL ISLAM,National People's Party,1963,4,1967,0.95,21,5,NPP
2,ZABED ISLAM,Asom Gana Parishad,68484,549,69033,33.3,21,2,AGP
3,MD. AMINUL ISLAM,All India United Democratic Front,125130,743,125873,60.72,21,1,AIUDF
4,SAYED HASSAN IMAN,Janata Dal (United),917,2,919,0.44,21,8,JD(U)
5,SHAHIDUR ALAM,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),738,1,739,0.36,21,9,SUCOI(C)
6,ZAMER ALI,Independent,4196,4,4200,2.03,21,3,I
7,MONOWAR HUSSAIN,Independent,2631,6,2637,1.27,21,4,I
8,RUKUNUR ZAMAN,Independent,1003,2,1005,0.48,21,6,I
9,NOTA,None of the Above,920,1,921,0.44,21,7,NOTA
1,ASADUL ISLAM,Bharatiya Janata Party,8899,20,8919,5.12,22,3,BJP
2,WAZED ALI CHOUDHURY,Indian National Congress,146031,217,146248,83.98,22,1,INC
3,JENAT MOLLAH,Nationalist Congress Party,1470,0,1470,0.84,22,6,NCP
4,ABDUS SOBUR MIAH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1268,7,1275,0.73,22,7,SUCOI(C)
5,TALEB ALI,Janata Dal (United),222,0,222,0.13,22,10,JD(U)
6,NURAL ISLAM,Rashtriya Ulama Council,1115,1,1116,0.64,22,8,RUC
7,NOZRUL ISLAM,Independent,1472,5,1477,0.85,22,5,I
8,NURUL ISLAM MOLLAH,Independent,10665,9,10674,6.13,22,2,I
9,FOZLUL HOQUE CHOUDHURY,Independent,1806,1,1807,1.04,22,4,I
10,NOTA,None of the Above,937,0,937,0.54,22,9,NOTA
1,DR. DEBAMOY SANYAL,Bharatiya Janata Party,45864,236,46100,26.13,23,2,BJP
2,NAZRUL HOQUE,All India United Democratic Front,123669,244,123913,70.24,23,1,AIUDF
3,AZAD ALI SHEIKH,Assam Jatiya Parishad,1698,6,1704,0.97,23,4,AJP
4,TAHABIL ALOM SARKAR,Janata Dal (United),266,1,267,0.15,23,8,JD(U)
5,DEWAN HABIBUR RAHMAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),323,0,323,0.18,23,7,SUCOI(C)
6,MOBARAK HUSSAIN,Independent,502,5,507,0.29,23,6,I
7,RASUL HOQUE,Independent,2123,3,2126,1.21,23,3,I
8,NOTA,None of the Above,1479,4,1483,0.84,23,5,NOTA
1,NIZANUR RAHMAN,All India United Democratic Front,111963,231,112194,61.07,24,1,AIUDF
2,BANENDRA KUMAR MUSHAHARY,Bharatiya Janata Party,63081,268,63349,34.48,24,2,BJP
3,JABBAR ALI,Janata Dal (United),578,2,580,0.32,24,9,JD(U)
4,MIR HUSSAIN SARKAR,Republican Party of India (A),786,4,790,0.43,24,7,RPI(A)
5,AKUL BARMAN,Independent,402,4,406,0.22,24,10,I
6,ABDUR REZZAK HOSSAIN,Independent,1754,4,1758,0.96,24,3,I
7,KHAGENDRA NATH RAY,Independent,866,6,872,0.47,24,6,I
8,NIRANJAN PRODHANI,Independent,615,0,615,0.33,24,8,I
9,MD. MOHIBUL HAQUE,Independent,1401,4,1405,0.76,24,5,I
10,NOTA,None of the Above,1748,10,1758,0.96,24,3,NOTA
1,ASHWINI RAY SARKAR,Bharatiya Janata Party,78671,500,79171,43.14,25,2,BJP
2,ABDUS SOBAHAN ALI SARKAR,Indian National Congress,89611,259,89870,48.96,25,1,INC
3,SAHIDUR RAHMAN,All India Trinamool Congress,1111,3,1114,0.61,25,5,AITC
4,ATIKUR RAHMAN,Assam Jatiya Parishad,408,2,410,0.22,25,7,AJP
5,MOMINUR ALOM,Rashtriya Ulama Council,342,1,343,0.19,25,8,RUC
6,ABU TAHER BEPARI,Independent,10391,40,10431,5.68,25,3,I
7,NILIMOY PRODHANI,Independent,1026,4,1030,0.56,25,6,I
8,NOTA,None of the Above,1171,1,1172,0.64,25,4,NOTA
1,DR. ABU BAKAR SIDDIQUE,Bharatiya Janata Party,26907,147,27054,16.78,26,3,BJP
2,ABDUR REZZAK SHEIKH,All India Trinamool Congress,6422,35,6457,4.01,26,4,AITC
3,HAFIZ BASHIR AHMED,All India United Democratic Front,90166,363,90529,56.16,26,1,AIUDF
4,AKBAR ALI MONDAL,The National Road Map Party of India,1624,3,1627,1.01,26,6,TNRMPI
5,DR. ANES AHMED,Assam Jatiya Parishad,1511,11,1522,0.94,26,7,AJP
6,ALI AKBAR MIAH,Independent,30670,101,30771,19.09,26,2,I
7,IFTARUL ISLAM PARAMANIK,Independent,1921,5,1926,1.19,26,5,I
8,NOTA,None of the Above,1298,8,1306,0.81,26,8,NOTA
1,ASHOK KUMAR SINGHI,Bharatiya Janata Party,66325,443,66768,34.11,27,2,BJP
2,SAMSUL HUDA,All India United Democratic Front,115714,354,116068,59.3,27,1,AIUDF
3,ABDUL MONNAF PRAMANIK,Janata Dal (United),907,1,908,0.46,27,7,JD(U)
4,KANULAL DAS,Assam Jatiya Parishad,3338,37,3375,1.72,27,3,AJP
5,PRODIP CHANDRA ROY,Republican Party of India,397,6,403,0.21,27,11,RPI
6,MOZNUR RAHMAN,Independent,474,4,478,0.24,27,10,I
7,MOYNUL HOQUE,Independent,369,2,371,0.19,27,12,I
8,ABDUL JABBAR,Independent,480,3,483,0.25,27,9,I
9,JITENDRA NATH ADHIKARY,Independent,631,3,634,0.32,27,8,I
10,MOMINUR ISLAM,Independent,2888,3,2891,1.48,27,4,I
11,MOSHLEM UDDIN CHOUDHURY,Independent,1657,0,1657,0.85,27,6,I
12,NOTA,None of the Above,1706,2,1708,0.87,27,5,NOTA
1,Majendra Narzary,Bodoland Peoples Front,69780,627,70407,45.19,28,1,BPF
2,Saidur Islam,The National Road Map Party of India,1280,4,1284,0.82,28,8,TNRMPI
3,Ratan Hasda,Janata Dal (United),1030,26,1056,0.68,28,10,JD(U)
4,Somnath Narzary,"United People’s Party, Liberal",59499,565,60064,38.55,28,2,UPPL
5,Abdul Samad Choudhury,Independent,3810,21,3831,2.46,28,5,I
6,Uttam Kumar Talukdar,Independent,1101,15,1116,0.72,28,9,I
7,Osman Goni SK,Independent,794,3,797,0.51,28,12,I
8,Khairul Anam Khandakar,Independent,9150,24,9174,5.89,28,3,I
9,Riajul Hoque,Independent,1407,5,1412,0.91,28,7,I
10,Ruhit Basumatary,Independent,866,6,872,0.56,28,11,I
11,Surjyanath Tudu,Independent,3966,16,3982,2.56,28,4,I
12,NOTA,None of the Above,1792,9,1801,1.16,28,6,NOTA
1,RABIRAM NARZARY,Bodoland Peoples Front,76826,683,77509,49.68,29,1,BPF
2,MANARANJAN BRAHMA,"United People’s Party, Liberal",64593,845,65438,41.94,29,2,UPPL
3,RANENDRA KOCH,Janata Dal (United),901,37,938,0.6,29,7,JD(U)
4,RAJENDRA MUSHAHARY,The National Road Map Party of India,827,15,842,0.54,29,8,TNRMPI
5,KAUSHIK MOHAN BRAHMA,Independent,6636,26,6662,4.27,29,3,I
6,GAUTAM BARO,Independent,1156,10,1166,0.75,29,6,I
7,RANJAY KR. BRAHMA,Independent,1821,11,1832,1.17,29,4,I
8,NOTA,None of the Above,1626,19,1645,1.05,29,5,NOTA
1,PRAMILA RANI BRAHMA,Bodoland Peoples Front,62922,498,63420,41.11,30,2,BPF
2,MIJING BRAHMA,Voters Party International,1240,36,1276,0.83,30,5,VPI
3,LAWRENCE ISLARY,"United People’s Party, Liberal",82817,698,83515,54.14,30,1,UPPL
4,MANAJ KUMAR BRAHMA,Independent,3229,35,3264,2.12,30,3,I
5,SHRI SAILENDRA NATH BRAHMA,Independent,888,9,897,0.58,30,6,I
6,NOTA,None of the Above,1865,18,1883,1.22,30,4,NOTA
1,CHANDAN BRAHMA,Bodoland Peoples Front,65413,354,65767,38.27,31,2,BPF
2,JOYANTA BASUMATARY,"United People’s Party, Liberal",96550,537,97087,56.5,31,1,UPPL
3,RANJAY KUMAR BRAHMA,Janata Dal (United),1536,20,1556,0.91,31,6,JD(U)
4,JISOYA CHAMPRAMARY,Independent,3070,14,3084,1.79,31,3,I
5,SMRITI BASUMATARY,Independent,1828,22,1850,1.08,31,5,I
6,NOTA,None of the Above,2469,16,2485,1.45,31,4,NOTA
1,PRABHAT BAISNAB,National People's Party,1595,51,1646,1.07,32,8,NPP
2,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,82036,764,82800,53.9,32,1,AGP
3,SHANKAR PRASAD RAY,Indian National Congress,44386,247,44633,29.05,32,2,INC
4,DIPU CHOUDHURY,Assam Jatiya Parishad,13872,116,13988,9.1,32,3,AJP
5,SANTANU MUKHERJEE,Political Justice Party,2254,12,2266,1.47,32,4,PJP
6,SABENDRA BASUMATARY,Voters Party International,927,25,952,0.62,32,10,VPI
7,SRI SUJIT KUMAR ROY,Bharatiya Gana Parishad,2163,21,2184,1.42,32,5,BGP
8,KAILASH DAS,Independent,1807,3,1810,1.18,32,7,I
9,GAUTAM DUTTA,Independent,1167,5,1172,0.76,32,9,I
10,NOTA,None of the Above,2149,30,2179,1.42,32,6,NOTA
1,AJOY KUMAR RAY,Bharatiya Janata Party,44909,824,45733,32.69,33,1,BJP
2,KAMALSHING NARZARY,Bodoland Peoples Front,43995,735,44730,31.97,33,2,BPF
