O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
14,MARIMUTHU T.S,Independent,406,1,407,0.2,128,8,I
15,NOTA,None of the Above,1451,6,1457,0.72,128,4,NOTA
1,KARTHIGAISELVAN K,Bahujan Samaj Party,740,9,749,0.33,129,11,BSP
2,PERIYASAMY I,Dravida Munnetra Kazhagam,164169,1640,165809,72.11,129,1,DMK
3,SILAMBARASAN M,Puthiya Tamilagam,878,2,880,0.38,129,10,PT
4,SIVASAKTHIVEL P,Makkal Needhi Maiam,3211,30,3241,1.41,129,4,MNM
5,SELVAKUMAR P,Amma Makkal Munnettra Kazagam,2991,26,3017,1.31,129,5,AMMK
6,SIMON JUSTIN A,Naam Tamilar Katchi,17017,151,17168,7.47,129,3,NTK
7,THILAGABAMA M,Pattali Makkal Katchi,30018,220,30238,13.15,129,2,PMK
8,MUTHULAKSHMI R,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1178,2,1180,0.51,129,9,APTADMK
9,RAGUPATHI P,Anaithu Makkal Puratchi Katchi,87,0,87,0.04,129,21,AMPK
10,JEYASEKARAN R,My India Party,87,1,88,0.04,129,20,MIP
11,ANBU AS,Independent,534,1,535,0.23,129,13,I
12,KARTHI M,Independent,321,1,322,0.14,129,16,I
13,SANKAR D,Independent,700,0,700,0.3,129,12,I
14,SAVADAMUTHU A,Independent,1706,16,1722,0.75,129,6,I
15,SILAMBARASAN P,Independent,486,0,486,0.21,129,14,I
16,THILAGAVATHY S,Independent,347,2,349,0.15,129,15,I
17,BALAMURUGAN A,Independent,190,0,190,0.08,129,17,I
18,PALRAJ R,Independent,1352,5,1357,0.59,129,8,I
19,MURUGANANTHAM C,Independent,125,0,125,0.05,129,19,I
20,VEERAMALAI S,Independent,133,0,133,0.06,129,18,I
21,NOTA,None of the Above,1543,21,1564,0.68,129,7,NOTA
1,K.Ramasamy,Desiya Murpokku Dravida Kazhagam,3684,20,3704,2.0,130,4,DMDK
2,S.Thenmozhi,All India Anna Dravida Munnetra Kazhagam,90857,604,91461,49.49,130,1,AIADMK
3,P.Nagendran,Bahujan Samaj Party,664,2,666,0.36,130,7,BSP
4,K.Murugavelrajan,Dravida Munnetra Kazhagam,62593,1250,63843,34.55,130,2,DMK
5,V.K.Aiyyar,Puthiya Tamilagam,478,6,484,0.26,130,10,PT
6,Ananth,Makkal Needhi Maiam,3146,35,3181,1.72,130,5,MNM
7,V.Revadhi,My India Party,155,3,158,0.09,130,15,MIP
8,G.Vasanthadevi,Naam Tamilar Katchi,17363,142,17505,9.47,130,3,NTK
9,A.Alappan,Independent,340,3,343,0.19,130,12,I
10,M.Kalimuthu,Independent,61,0,61,0.03,130,19,I
11,P.Sivakami,Independent,76,1,77,0.04,130,18,I
12,P.Nagajothi,Independent,511,4,515,0.28,130,8,I
13,S.Nithya,Independent,126,2,128,0.07,130,17,I
14,M.Pandi,Independent,135,2,137,0.07,130,16,I
15,V.Balasubramani,Independent,163,1,164,0.09,130,14,I
16,N.Perumal,Independent,252,0,252,0.14,130,13,I
17,P.Pothumanickam,Independent,372,3,375,0.2,130,11,I
18,V.Vinoth,Independent,491,0,491,0.27,130,9,I
19,NOTA,None of the Above,1248,12,1260,0.68,130,6,NOTA
1,M.A.ANDI AMBALAM,Dravida Munnetra Kazhagam,94968,862,95830,42.54,131,2,DMK
2,P.ANDISAMY,Bahujan Samaj Party,676,2,678,0.3,131,7,BSP
3,NATHAM.R.VISWANATHAN,All India Anna Dravida Munnetra Kazhagam,107255,507,107762,47.84,131,1,AIADMK
4,R.A.SARANRAJ,Indiya Jananayaka Katchi,1019,6,1025,0.46,131,6,IJK
5,DOCTOR.V.SIVASANKARAN,Naam Tamilar Katchi,14673,89,14762,6.55,131,3,NTK
6,N.RAJA,Amma Makkal Munnettra Kazagam,1713,8,1721,0.76,131,4,AMMK
7,V.VEMBARASAN,My India Party,164,2,166,0.07,131,14,MIP
8,A.KARNAN,Independent,335,0,335,0.15,131,9,I
9,C.GURUSAMY,Independent,95,1,96,0.04,131,16,I
10,M.XAVIER JOSEPH KENNEDY,Independent,189,5,194,0.09,131,12,I
11,K.DHANDAPANI,Independent,321,1,322,0.14,131,10,I
12,A.BALASUBRAMANI,Independent,112,0,112,0.05,131,15,I
13,K.MURUGESAN,Independent,224,0,224,0.1,131,11,I
14,S.JEYAKUMAR,Independent,383,0,383,0.17,131,8,I
15,JEYAPAUL R,Independent,190,0,190,0.08,131,13,I
16,NOTA,None of the Above,1438,6,1444,0.64,131,5,NOTA
1,ARASUR MANOHARAN.S,Bahujan Samaj Party,492,9,501,0.26,132,8,BSP
2,SREENIVASAN.C,All India Anna Dravida Munnetra Kazhagam,89685,910,90595,46.43,132,1,AIADMK
3,PANDI.N,Communist Party of India (Marxist),70393,2455,72848,37.34,132,2,CPI(M)
4,AKKAMMAL.S,My India Party,301,4,305,0.16,132,10,MIP
5,ALAGU PANDIAN.R,Anaithu Makkal Munnetra Kazhagam,232,0,232,0.12,132,12,AMMK
6,RAJENDRAN.R,Makkal Needhi Maiam,8950,113,9063,4.64,132,4,MNM
7,KARTHIKEYAN.V,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,92,0,92,0.05,132,20,APTADMK
8,SIVAGANAM.A,Anaithu Makkal Puratchi Katchi,51,2,53,0.03,132,22,AMPK
9,MURUGESAN.A,Puthiya Tamilagam,245,9,254,0.13,132,11,PT
10,RAMUTHEVAR.P,Amma Makkal Munnettra Kazagam,2379,48,2427,1.24,132,5,AMMK
11,JAYASUNDAR.R,Naam Tamilar Katchi,14703,157,14860,7.62,132,3,NTK
12,ANBUROSE.D,Independent,190,1,191,0.1,132,14,I
13,SENTHIL ALAGAPPAN.A,Independent,81,1,82,0.04,132,21,I
14,DHANASEKARAN.C,Independent,165,1,166,0.09,132,16,I
15,NAGARAJ.N,Independent,179,1,180,0.09,132,15,I
16,BALASUBRAMANI.K,Independent,561,9,570,0.29,132,7,I
17,BALAJI.R,Independent,104,0,104,0.05,132,19,I
18,BASKARAN CHELLAPPA.J,Independent,344,1,345,0.18,132,9,I
19,RAHAMATHULLA.M,Independent,209,1,210,0.11,132,13,I
20,VIJAYAPANDI.P,Independent,109,5,114,0.06,132,18,I
21,HARI PRAKASH.M,Independent,118,1,119,0.06,132,17,I
22,NOTA,None of the Above,1772,35,1807,0.93,132,6,NOTA
1,GANDHIRAJAN S,Dravida Munnetra Kazhagam,105157,1324,106481,49.97,133,1,DMK
2,PARAMASIVAM V P B,All India Anna Dravida Munnetra Kazhagam,88330,598,88928,41.73,133,2,AIADMK
3,KARTHIKEYAN A,My India Party,669,0,669,0.31,133,10,MIP
4,KALIMUTHU V,Samaniya Makkal Nala Katchi,101,0,101,0.05,133,16,SMNK
5,POTHUMANI R,Naam Tamilar Katchi,8441,54,8495,3.99,133,3,NTK
6,MANEESHANKAR M G,Rashtriya Samaj Paksha,105,3,108,0.05,133,15,RSP
7,MURUGESAN K,Ganasangam Party of India,123,0,123,0.06,133,14,GPI
8,RAMASAMY P,Amma Makkal Munnettra Kazagam,2030,11,2041,0.96,133,4,AMMK
9,VETRIVEL S,Makkal Needhi Maiam,1202,13,1215,0.57,133,6,MNM
10,SARAVANA KUMAR K R,Independent,71,1,72,0.03,133,19,I
11,SUKUMAR V,Independent,233,0,233,0.11,133,12,I
12,SELVARAJ V,Independent,71,0,71,0.03,133,20,I
13,DHARMALINGAM Dr MARUR N,Independent,78,3,81,0.04,133,17,I
14,NANDAKUMAR P,Independent,124,0,124,0.06,133,13,I
15,PALANICHAMY B,Independent,1292,1,1293,0.61,133,5,I
16,PRASATH R,Independent,886,1,887,0.42,133,7,I
17,MUTHUSAMY V,Independent,739,1,740,0.35,133,9,I
18,MURUGAN P,Independent,489,0,489,0.23,133,11,I
19,MOORTHY S,Independent,77,0,77,0.04,133,18,I
20,RAMASAMY K,Independent,48,1,49,0.02,133,21,I
21,NOTA,None of the Above,798,5,803,0.38,133,8,NOTA
1,ANNAMALAI. K,Bharatiya Janata Party,67915,638,68553,38.71,134,2,BJP
2,ELANGO. R,Dravida Munnetra Kazhagam,92215,1154,93369,52.72,134,1,DMK
3,SUNDARARAJ. R,Bahujan Samaj Party,328,0,328,0.19,134,10,BSP
4,ANITHA PARVEEN. M,Naam Tamilar Katchi,7156,32,7188,4.06,134,3,NTK
5,THANGAVEL. P. S. N,Amma Makkal Munnettra Kazagam,1593,6,1599,0.9,134,4,AMMK
6,MOHAMMED HANEEF SHAHIL. K. S,Makkal Needhi Maiam,1375,7,1382,0.78,134,5,MNM
7,MOHANRAJ. C,Samaniya Makkal Nala Katchi,21,1,22,0.01,134,32,SMNK
8,RAJKUMAR. R,Tamil Nadu Ilangyar Katchi,375,2,377,0.21,134,8,TNIK
9,ARIVALAGAN. T,Independent,53,0,53,0.03,134,19,I
10,ARUMUGAM. R,Independent,29,0,29,0.02,134,25,I
11,KARTHIKEYAN. R,Independent,63,0,63,0.04,134,18,I
12,KARTHIK. D,Independent,45,0,45,0.03,134,21,I
13,KIRUBANANTH. S,Independent,41,0,41,0.02,134,23,I
14,SAKUNTHALA. N,Independent,79,0,79,0.04,134,17,I
15,SATHEESHKUMAR. T,Independent,336,0,336,0.19,134,9,I
16,SARAVANAN. P,Independent,1236,0,1236,0.7,134,6,I
17,CHITHAMBARAM. A,Independent,240,0,240,0.14,134,12,I
18,SILAMBARASAN. P,Independent,129,0,129,0.07,134,15,I
19,SIVAKUMAR. A,Independent,28,0,28,0.02,134,26,I
20,SURESH. M,Independent,19,0,19,0.01,134,37,I
21,SURESHBABU. S,Independent,24,0,24,0.01,134,29,I
22,SELVAKUMAR. R,Independent,19,0,19,0.01,134,37,I
23,THANEGASALAM. R. V,Independent,20,1,21,0.01,134,34,I
24,BASKARAN. N,Independent,24,1,25,0.01,134,28,I
25,PITCHAIMUTHU. T,Independent,24,0,24,0.01,134,29,I
26,PRAKASH. P,Independent,16,0,16,0.01,134,39,I
27,PRABAKARAN. T,Independent,20,1,21,0.01,134,34,I
28,PRABHU. G,Independent,16,0,16,0.01,134,39,I
29,BOOPATHY. S,Independent,27,0,27,0.02,134,27,I
30,PERIYASAMY. M. R,Independent,40,0,40,0.02,134,24,I
31,MAHESHMANI. T,Independent,104,0,104,0.06,134,16,I
32,MATHIYALAGAN. P,Independent,161,0,161,0.09,134,14,I
33,MANOJPANDIYAN. J. M,Independent,290,0,290,0.16,134,11,I
34,MURUGESAN. M. S,Independent,174,0,174,0.1,134,13,I
35,RAGUNATH. P,Independent,23,0,23,0.01,134,31,I
36,RANJITH. I,Independent,21,0,21,0.01,134,34,I
37,RAMAGURU. R,Independent,19,1,20,0.01,134,36,I
38,RAJENDIRAN. M,Independent,44,0,44,0.02,134,22,I
39,VIVEKANANTHAN. V,Independent,13,0,13,0.01,134,41,I
40,VAIRASEEMAN. G,Independent,46,0,46,0.03,134,20,I
41,NOTA,None of the Above,866,3,869,0.49,134,7,NOTA
1,AADHIKRISHNAN.P,Bahujan Samaj Party,210,0,210,0.1,135,9,BSP
2,SENTHILBALAJI V,Dravida Munnetra Kazhagam,100356,1401,101757,49.08,135,1,DMK
3,THANGARAJ.N,Desiya Murpokku Dravida Kazhagam,946,7,953,0.46,135,6,DMDK
4,VIJAYABHASKAR. M.R,All India Anna Dravida Munnetra Kazhagam,88440,869,89309,43.08,135,2,AIADMK
5,KARUPPAIYA.R,Naam Tamilar Katchi,7286,30,7316,3.53,135,3,NTK
6,SHANMUGAM.N,Samaniya Makkal Nala Katchi,99,0,99,0.05,135,15,SMNK
7,DHANALAKSHMI.M,Ganasangam Party of India,105,0,105,0.05,135,13,GPI
8,MOHANRAJ.S,Makkal Needhi Maiam,4138,16,4154,2.0,135,4,MNM
9,JOSEPH.M.A,Desiya Makkal Sakthi Katchi,39,0,39,0.02,135,24,DMSK
10,ABILAZAN.N,Independent,29,0,29,0.01,135,28,I
11,AMARNATH.K,Independent,28,0,28,0.01,135,30,I
12,AMARSRI.M,Independent,56,0,56,0.03,135,18,I
13,ANBAZHAGAN,Independent,334,0,334,0.16,135,8,I
14,RAVI.P,Independent,366,3,369,0.18,135,7,I
15,KANNAN.T,Independent,165,0,165,0.08,135,10,I
16,KATHIRAVAN.P,Independent,114,0,114,0.05,135,12,I
17,KARUNAMOORTHY.S,Independent,29,0,29,0.01,135,28,I
18,KALAI RAJ.K,Independent,51,0,51,0.02,135,20,I
19,KAMARAJ.P,Independent,15,0,15,0.01,135,40,I
20,KRISHNAKUMAR.S,Independent,42,0,42,0.02,135,22,I
21,GOPALAKRISHNAN.A,Independent,19,0,19,0.01,135,35,I
22,SAKTHIKUMAR,Independent,2,0,2,0.0,135,77,I
23,SANTHANAKUMAR.M,Independent,3,1,4,0.0,135,72,I
24,SATHISH.P,Independent,10,0,10,0.0,135,57,I
25,SAMPATH.S,Independent,9,0,9,0.0,135,60,I
26,SARAVANAN.R,Independent,10,0,10,0.0,135,57,I
27,SAMIAPPAN.K,Independent,10,0,10,0.0,135,57,I
28,SAMIVEL.A,Independent,12,0,12,0.01,135,51,I
29,SHIVAKUMAR.K,Independent,29,0,29,0.01,135,28,I
30,SIVAKUMAR.N,Independent,18,0,18,0.01,135,37,I
31,SIVAKUMAR.V,Independent,46,0,46,0.02,135,21,I
32,SIVASAMY.P,Independent,37,0,37,0.02,135,25,I
33,SUDHAKAR.S,Independent,7,0,7,0.0,135,65,I
34,SUDHAKAR.L,Independent,19,0,19,0.01,135,35,I
35,SUBASH MALAYALAM.T,Independent,8,0,8,0.0,135,62,I
36,SURYA,Independent,96,0,96,0.05,135,16,I
37,SENTHILKUMAR.A,Independent,13,0,13,0.01,135,48,I
38,SENTHILKUMAR.A.M,Independent,2,0,2,0.0,135,77,I
39,SELVAKUMAR.M,Independent,7,0,7,0.0,135,65,I
40,DANIYA,Independent,11,0,11,0.01,135,53,I
41,TAMILARASAN.K,Independent,13,0,13,0.01,135,48,I
42,THAMILALAGAN,Independent,7,0,7,0.0,135,65,I
43,DHANABAL,Independent,7,0,7,0.0,135,65,I
44,THIRUGNANAM.M,Independent,13,0,13,0.01,135,48,I
45,DEEPANANDH.N,Independent,14,0,14,0.01,135,43,I
46,DURAISAMY.J,Independent,5,0,5,0.0,135,70,I
47,NOOR MOHAMMED THOUFFIC.A,Independent,13,0,13,0.01,135,48,I
48,PALANIVEL.P,Independent,17,0,17,0.01,135,38,I
49,BALAMANIKANDAN.K,Independent,56,0,56,0.03,135,18,I
50,BANUMATHY,Independent,16,0,16,0.01,135,39,I
51,PRAKASH.A,Independent,11,0,11,0.01,135,53,I
52,PRAKASH.N,Independent,20,0,20,0.01,135,34,I
53,PRAKASH.V,Independent,5,0,5,0.0,135,70,I
54,PRASANTH.S,Independent,4,0,4,0.0,135,72,I
55,PUSHPARAJ.P,Independent,3,0,3,0.0,135,74,I
56,BOOPATHI.P,Independent,6,0,6,0.0,135,68,I
57,MAHENDRAN,Independent,11,0,11,0.01,135,53,I
58,MANIKANDAN.K,Independent,2,0,2,0.0,135,77,I
59,MANIVANNAN.S,Independent,3,0,3,0.0,135,74,I
60,MANOJ.P,Independent,10,0,10,0.0,135,57,I
61,MUTHU. K.R,Independent,14,0,14,0.01,135,43,I
62,MUTHUKUMAR.G,Independent,8,0,8,0.0,135,62,I
63,MURALI.M,Independent,10,0,10,0.0,135,57,I
64,MURUGANANTHAM.T,Independent,30,0,30,0.01,135,26,I
65,MURUGESAN.A,Independent,83,1,84,0.04,135,17,I
66,MOHAN.M.L.M,Independent,42,0,42,0.02,135,22,I
67,MOUNAGURUBALUSAMY.K,Independent,14,0,14,0.01,135,43,I
68,RAJESHKANNAN.S,Independent,138,0,138,0.07,135,11,I
69,VIGNESHWARAN.P,Independent,25,0,25,0.01,135,32,I
70,VINOTHKUMAR,Independent,9,0,9,0.0,135,60,I
71,VIJAYABHASKAR.R.V,Independent,14,0,14,0.01,135,43,I
72,VIJAYAN.K,Independent,13,0,13,0.01,135,48,I
73,VEERAKUMAR.T,Independent,5,0,5,0.0,135,70,I
74,VENKADESH.K,Independent,14,0,14,0.01,135,43,I
75,VENKATESH PRABU.K,Independent,26,0,26,0.01,135,31,I
76,JAYAKUMAR.G,Independent,100,2,102,0.05,135,14,I
77,JOTHI SUTHARSAN,Independent,22,0,22,0.01,135,33,I
78,NOTA,None of the Above,954,7,961,0.46,135,5,NOTA
1,KATHIRVEL.M,Desiya Murpokku Dravida Kazhagam,1940,6,1946,1.08,136,4,DMDK
2,SIVAGAMA SUNDARI.K,Dravida Munnetra Kazhagam,95321,1219,96540,53.37,136,1,DMK
3,MUTHUKUMAR,All India Anna Dravida Munnetra Kazhagam,64507,408,64915,35.88,136,2,AIADMK
4,MURUGESAN.R,Bahujan Samaj Party,538,2,540,0.3,136,9,BSP
5,ASHOKAN.P,Puthiya Tamilagam,194,1,195,0.11,136,14,PT
6,ILAKIYA.R,Naam Tamilar Katchi,9654,52,9706,5.37,136,3,NTK
7,CHANDRA.P,My India Party,128,0,128,0.07,136,16,MIP
8,SARAVANAN.V,Makkal Needhi Maiam,1837,11,1848,1.02,136,5,MNM
9,NARAYANAN.KR,Communist Party of India (Marxist-Leninist) (Liberation),100,1,101,0.06,136,21,CPI(M)(L)
10,RAJAGURU. M,Samaniya Makkal Nala Katchi,121,1,122,0.07,136,17,SMNK
11,KRISHNAMOORTHI.M,Independent,119,0,119,0.07,136,18,I
12,GOPI KRISHNAN.P,Independent,97,0,97,0.05,136,22,I
13,SAKTHIVEL.K,Independent,151,0,151,0.08,136,15,I
14,SATHYARAJ,Independent,433,0,433,0.24,136,10,I
15,SIVAKUMAR. O,Independent,910,1,911,0.5,136,7,I
16,CHINNASAMY.V,Independent,377,0,377,0.21,136,11,I
17,SENTHILKUMAR.M,Independent,214,0,214,0.12,136,13,I
18,SELVAKUMAR.S,Independent,710,0,710,0.39,136,8,I
19,TAMIL SELVAN.M,Independent,242,0,242,0.13,136,12,I
20,NAGARAJAN. C,Independent,68,0,68,0.04,136,24,I
21,MAHAMUNI.A,Independent,27,0,27,0.01,136,25,I
22,MAHESWARAN.A,Independent,24,0,24,0.01,136,26,I
23,MUHILAN.T,Independent,21,0,21,0.01,136,27,I
24,MURUGANANTHAM.T,Independent,69,0,69,0.04,136,23,I
25,RAMESH.N.P,Independent,107,1,108,0.06,136,20,I
26,RAJAGOPAL.K,Independent,113,0,113,0.06,136,19,I
27,NOTA,None of the Above,1172,5,1177,0.65,136,6,NOTA
1,P.Anbalagan,Bahujan Samaj Party,585,5,590,0.3,137,10,BSP
2,N.R.Chandrasekar,All India Anna Dravida Munnetra Kazhagam,76579,710,77289,39.14,137,2,AIADMK
3,R.Manickam,Dravida Munnetra Kazhagam,99285,1544,100829,51.06,137,1,DMK
4,M.Sankar,Samaniya Makkal Nala Katchi,455,5,460,0.23,137,12,SMNK
5,A.Subethar,Tipu Sultan Party,213,2,215,0.11,137,16,TSP
6,V.Nirosha,Amma Makkal Munnettra Kazagam,754,7,761,0.39,137,6,AMMK
7,Seeni.Prakasu,Naam Tamilar Katchi,11426,85,11511,5.83,137,3,NTK
8,S.Manikandan,Indiya Jananayaka Katchi,670,4,674,0.34,137,8,IJK
9,V.Alex Mouris,Independent,244,1,245,0.12,137,14,I
10,S.Kandasamy,Independent,138,0,138,0.07,137,18,I
11,R.Kalyana Sundaram,Independent,109,2,111,0.06,137,19,I
12,R.Chandrasekar,Independent,674,20,694,0.35,137,7,I
13,M.Saravanan,Independent,213,8,221,0.11,137,15,I
14,R.Saravanan,Independent,834,4,838,0.42,137,5,I
15,K.Suresh,Independent,490,4,494,0.25,137,11,I
16,B.Selvaraj,Independent,399,0,399,0.2,137,13,I
17,S.Barani,Independent,184,0,184,0.09,137,17,I
18,V.Vellaiyan,Independent,612,0,612,0.31,137,9,I
19,NOTA,None of the Above,1187,4,1191,0.6,137,4,NOTA
1,ABDUL SAMAD P,Dravida Munnetra Kazhagam,96204,1873,98077,44.23,138,1,DMK
2,KRISHNAGOPAL P,Desiya Murpokku Dravida Kazhagam,10666,53,10719,4.83,138,4,DMDK
3,CHANDRASEKAR.R,All India Anna Dravida Munnetra Kazhagam,85133,701,85834,38.71,138,2,AIADMK
4,UMARANI K,Indiya Jananayaka Katchi,908,6,914,0.41,138,7,IJK
5,KANIMOZHI.P,Naam Tamilar Katchi,19358,92,19450,8.77,138,3,NTK
6,SAKTHIVEL.M,Communist Party of India (Marxist-Leninist) (Liberation),186,5,191,0.09,138,15,CPI(M)(L)
7,PANDIAN V,Ezhuchi Tamilargal Munnetra Kazhagam,128,1,129,0.06,138,19,ETMK
8,VARADAN.M,Lok Jan Shakti Party,81,1,82,0.04,138,23,LJSP
9,ARPUTHASAMY V,Independent,286,1,287,0.13,138,13,I
10,ILANGOVAN S,Independent,122,1,123,0.06,138,20,I
11,ELAYARAJA C,Independent,544,3,547,0.25,138,10,I
12,KARTHICK KRISHNA P,Independent,173,0,173,0.08,138,17,I
13,SATHYA PRIYA A,Independent,301,6,307,0.14,138,12,I
14,CHANDRASEKAR V,Independent,1255,4,1259,0.57,138,5,I
15,CHITHAIYAN T,Independent,261,9,270,0.12,138,14,I
16,CHINNAN P,Independent,649,1,650,0.29,138,8,I
17,SUBRAMANIAN P,Independent,628,0,628,0.28,138,9,I
18,DAVID P,Independent,179,1,180,0.08,138,16,I
19,NIRMAL KUMAR M,Independent,543,1,544,0.25,138,11,I
20,PRASANNA KUMAR P,Independent,113,0,113,0.05,138,21,I
21,RASU P,Independent,169,0,169,0.08,138,18,I
22,JEYAPANDIAN D,Independent,93,0,93,0.04,138,22,I
23,NOTA,None of the Above,1002,7,1009,0.46,138,6,NOTA
1,KuPa Krishnan,All India Anna Dravida Munnetra Kazhagam,93131,858,93989,39.12,139,2,AIADMK
2,G.Selvakumar,Bahujan Samaj Party,805,6,811,0.34,139,8,BSP
3,Palaniyandi.M,Dravida Munnetra Kazhagam,112009,1895,113904,47.41,139,1,DMK
4,Annalakshmi,Desiya Makkal Sakthi Katchi,606,2,608,0.25,139,9,DMSK
5,Sarubala.R.Thondaiman,Amma Makkal Munnettra Kazagam,3448,39,3487,1.45,139,5,AMMK
6,K.Selvarathi,Naam Tamilar Katchi,17793,118,17911,7.46,139,3,NTK
7,Daniel Jude Martin,Makkal Munnetra Peravai,207,3,210,0.09,139,13,MMP
8,P.Balasubramanian,Samaniya Makkal Nala Katchi,88,1,89,0.04,139,16,SMNK
9,S.Francis Mery,Indiya Jananayaka Katchi,1062,5,1067,0.44,139,7,IJK
10,M.Amsavalli,Independent,95,2,97,0.04,139,15,I
11,R.Uma,Independent,157,6,163,0.07,139,14,I
12,S.Suresh,Independent,386,2,388,0.16,139,12,I
13,V.Sethumadhavan,Independent,594,0,594,0.25,139,10,I
14,P.Ravichandran,Independent,422,1,423,0.18,139,11,I
15,Y.Jacob,Independent,4031,51,4082,1.7,139,4,I
16,NOTA,None of the Above,2391,26,2417,1.01,139,6,NOTA
1,"Nehru, K.N.",Dravida Munnetra Kazhagam,116018,2115,118133,64.52,140,1,DMK
2,"Padmanathan, V.",All India Anna Dravida Munnetra Kazhagam,32632,392,33024,18.04,140,2,AIADMK
3,"Abubacker Siddiq, M.",Makkal Needhi Maiam,10466,80,10546,5.76,140,4,MNM
4,"Abdullah Hassan Faizy, R.",SOCIAL DEMOCRATIC PARTY OF INDIA,2525,20,2545,1.39,140,5,SDPOI
5,"Vinodh, V.",Naam Tamilar Katchi,15637,88,15725,8.59,140,3,NTK
6,"Kalpana, T.",Independent,193,3,196,0.11,140,9,I
7,"Sahabudheen, A.J.",Independent,41,2,43,0.02,140,13,I
8,"Sudha, R.",Independent,216,6,222,0.12,140,7,I
9,"Sundar Rajulu, G.",Independent,40,2,42,0.02,140,14,I
10,"Selvaraj, D.",Independent,48,0,48,0.03,140,12,I
11,"Dheepan, M.",Independent,65,1,66,0.04,140,11,I
12,"Vasudevan, A.",Independent,211,0,211,0.12,140,8,I
13,"Shajahan, R.",Independent,181,0,181,0.1,140,10,I
14,NOTA,None of the Above,2079,38,2117,1.16,140,6,NOTA
1,"INIGO IRUDAYARAJ,S.",Dravida Munnetra Kazhagam,92645,1657,94302,54.56,141,1,DMK
2,"VELLAMANDI NATARAJAN,N.",All India Anna Dravida Munnetra Kazhagam,40109,396,40505,23.43,141,2,AIADMK
3,"PRABU,R.",Naam Tamilar Katchi,14211,101,14312,8.28,141,3,NTK
4,MANOHARAN.R.,Amma Makkal Munnettra Kazagam,9010,79,9089,5.26,141,5,AMMK
5,VIJAIA MOHANAAJI,Vidial Valarchi Perani,105,0,105,0.06,141,12,VVP
6,"VEERASAKTHI,D.",Makkal Needhi Maiam,11309,87,11396,6.59,141,4,MNM
7,"ARAVINDAN,P.",Independent,85,0,85,0.05,141,13,I
8,"AROCKIA SATHEESH,A.",Independent,69,1,70,0.04,141,16,I
9,"IRUDAYARAJ,S.",Independent,55,3,58,0.03,141,17,I
10,"GASPAR REGAN,S.",Independent,49,1,50,0.03,141,18,I
11,"CHARLES SAGAYARAJ,P.",Independent,69,4,73,0.04,141,14,I
12,"DEVAKUMAR,T.",Independent,72,1,73,0.04,141,14,I
13,"BALAMURUGAN,A.",Independent,211,0,211,0.12,141,8,I
14,"MARUTHAMUTHU,N.",Independent,45,1,46,0.03,141,19,I
15,"MANOHARAN,M.",Independent,157,0,157,0.09,141,11,I
16,"RAJA,S.",Independent,381,1,382,0.22,141,7,I
17,"JAHIR HUSSAIN,M.",Independent,207,1,208,0.12,141,9,I
18,"SHEIK ABDULLAH,R.",Independent,199,0,199,0.12,141,10,I
19,NOTA,None of the Above,1504,31,1535,0.89,141,6,NOTA
1,ANBIL MAHESH POYYAMOZHI,Dravida Munnetra Kazhagam,103673,1751,105424,53.51,142,1,DMK
2,P KUMAR,All India Anna Dravida Munnetra Kazhagam,55309,418,55727,28.29,142,2,AIADMK
3,S. SENTHILKUMAR,Desiya Murpokku Dravida Kazhagam,2260,33,2293,1.16,142,5,DMDK
4,MALATHI RAVICHANDRAN,Bahujan Samaj Party,225,1,226,0.11,142,9,BSP
5,K.M. KARTHIK,Tamil Nadu Ilangyar Katchi,408,5,413,0.21,142,8,TNIK
6,S.SAKTHIVEL,New Generation People’s Party,414,2,416,0.21,142,7,NGPP
7,V CHOLASOORAN,Naam Tamilar Katchi,15628,91,15719,7.98,142,3,NTK
8,K. PALANISAMY,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,122,1,123,0.06,142,11,VTVTK
9,MURUGANANDAM M,Makkal Needhi Maiam,14547,131,14678,7.45,142,4,MNM
10,S CHARLES,Independent,68,3,71,0.04,142,14,I
11,R. PRIYA,Independent,72,0,72,0.04,142,13,I
12,N. MUNIYANDI,Independent,52,2,54,0.03,142,16,I
13,A. RAJA MOHAMED,Independent,67,0,67,0.03,142,15,I
14,N. RAJU,Independent,88,0,88,0.04,142,12,I
15,JESTIN RAJA,Independent,222,2,224,0.11,142,10,I
16,NOTA,None of the Above,1403,15,1418,0.72,142,6,NOTA
1,A.SOUNDARAPANDIAN,Dravida Munnetra Kazhagam,83264,1650,84914,48.59,143,1,DMK
2,D.R.DHARMARAJ,All India Anna Dravida Munnetra Kazhagam,67612,353,67965,38.89,143,2,AIADMK
3,K.KAMARAJ,Samaniya Makkal Nala Katchi,268,2,270,0.15,143,7,SMNK
4,R.SILAMBARASAN,Anna MGR Dravida Makkal Kalgam,138,0,138,0.08,143,9,AMDMK
5,P.NAMBIRAJAN,Puthiya Tamilagam,123,1,124,0.07,143,10,PT
6,I.MALAR TAMIL PRABHA,Naam Tamilar Katchi,16134,114,16248,9.3,143,3,NTK
7,VEERAN.MUTHUKUMAR,Shiv Sena,64,1,65,0.04,143,13,SS
