O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
3,RAJU. K,All India Anna Dravida Munnetra Kazhagam,83586,297,83883,41.59,194,1,AIADMK
2,"RAJANCHELLAPPA, V.V.",All India Anna Dravida Munnetra Kazhagam,103059,624,103683,43.96,195,1,AIADMK
1,UDHAYAKUMAR R B,All India Anna Dravida Munnetra Kazhagam,99294,1044,100338,45.51,196,1,AIADMK
1,AYYAPPAN P,All India Anna Dravida Munnetra Kazhagam,70780,475,71255,33.53,197,1,AIADMK
2,A.MAHARAJAN,Dravida Munnetra Kazhagam,92057,1484,93541,44.64,198,1,DMK
1,K.S.SARAVANAKUMAAR,Dravida Munnetra Kazhagam,90360,1891,92251,45.71,199,1,DMK
2,O.PANNEERSELVAM,All India Anna Dravida Munnetra Kazhagam,99296,754,100050,46.58,200,1,AIADMK
1,N.Ramakrishnan,Dravida Munnetra Kazhagam,102652,2148,104800,51.81,201,1,DMK
1,THANGAPANDIAN S.,Dravida Munnetra Kazhagam,72712,1446,74158,41.5,202,1,DMK
2,"MANRAJ, E.M.",All India Anna Dravida Munnetra Kazhagam,70081,394,70475,38.09,203,1,AIADMK
1,"RAGHURAMAN, A.R.R.",Dravida Munnetra Kazhagam,72949,1225,74174,38.68,204,1,DMK
1,Ashokan.G,Indian National Congress,77788,1159,78947,42.66,205,1,INC
1,SEENIVASAN A.R.R,Dravida Munnetra Kazhagam,71909,1388,73297,45.32,206,1,DMK
1,K.K.S.S.R.RAMACHANDRAN,Dravida Munnetra Kazhagam,88928,2112,91040,53.18,207,1,DMK
1,THANGAM THENARASU,Dravida Munnetra Kazhagam,101016,1209,102225,59.15,208,1,DMK
4,MURUGESAN S,Dravida Munnetra Kazhagam,83016,1848,84864,46.59,209,1,DMK
3,KARUMANICKAM,Indian National Congress,78415,949,79364,39.33,210,1,INC
2,KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,109712,1370,111082,51.88,211,1,DMK
3,R.S.RAJAKANNAPPAN,Dravida Munnetra Kazhagam,100328,1573,101901,46.06,212,1,DMK
3,MARKANDAYAN V,Dravida Munnetra Kazhagam,89130,1218,90348,54.05,213,1,DMK
2,P.Geetha Jeevan,Dravida Munnetra Kazhagam,90206,2108,92314,49.0,214,1,DMK
1,Anitha R. Radhakrishnan,Dravida Munnetra Kazhagam,86162,2112,88274,50.58,215,1,DMK
1,Amirtharaj .S,Indian National Congress,75086,1757,76843,46.75,216,1,INC
2,SHUNMUGAIAH C,Dravida Munnetra Kazhagam,71605,1505,73110,41.11,217,1,DMK
1,KADAMBUR RAJU,All India Anna Dravida Munnetra Kazhagam,67970,586,68556,37.89,218,1,AIADMK
2,RAJA E,Dravida Munnetra Kazhagam,70144,1203,71347,38.92,219,1,DMK
1,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",Dravida Munnetra Kazhagam,67053,1677,68730,39.08,220,1,DMK
1,C.KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,87900,574,88474,43.08,221,1,AIADMK
2,PALANI NADAR.S,Indian National Congress,87706,1609,89315,41.71,222,1,INC
1,PAUL MANOJ PANDIAN,All India Anna Dravida Munnetra Kazhagam,73846,307,74153,36.44,223,1,AIADMK
2,Nainar Nagenthran,Bharatiya Janata Party,91504,778,92282,46.7,224,1,BJP
2,E.SUBAYA,All India Anna Dravida Munnetra Kazhagam,84665,546,85211,47.96,225,1,AIADMK
1,ABDUL WAHAB .M,Dravida Munnetra Kazhagam,86869,2248,89117,55.32,226,1,DMK
3,RUBY R MANOHARAN,Indian National Congress,74493,1409,75902,39.43,227,1,INC
1,M.Appavu,Dravida Munnetra Kazhagam,80241,2090,82331,43.95,228,1,DMK
3,THALAVAI SUNDARAM N.,All India Anna Dravida Munnetra Kazhagam,108136,1609,109745,48.8,229,1,AIADMK
1,Gandhi M.R.,Bharatiya Janata Party,87805,999,88804,48.21,230,1,BJP
3,Prince J.G.,Indian National Congress,89121,1560,90681,49.56,231,1,INC
1,"Mano Thangaraj, T.",Dravida Munnetra Kazhagam,86193,1551,87744,51.57,232,1,DMK
2,VIJAYADHARANI S,Indian National Congress,86227,1246,87473,52.12,233,1,INC
2,RAJESH KUMAR S,Indian National Congress,99393,2148,101541,59.76,234,1,INC
